Дата;Товар;Акция;Выходной;ПроданоСеть;ПоступилоСеть;ОстатокСеть;КоличествоЧеков;КоличествоЧековСеть;День_недели;Месяц;День;Год;Продано;Заказ;Поступило;Остаток;Продано_1д_назад;Поступило_1д_назад;Остаток_1д_назад;КоличествоЧеков_1д_назад;Заказ_1д_назад;Продано_частота_7д;Продано_частота_14д;Продано_частота_21д;Продано_темп_7д;Продано_темп_14д;Продано_темп_21д;ПроданоСеть_1д_назад;ПоступилоСеть_1д_назад;ОстатокСеть_1д_назад;КоличествоЧековСеть_1д_назад;ПроданоСеть_частота_7д;ПроданоСеть_частота_14д;ПроданоСеть_частота_21д;ПроданоСеть_темп_7д;ПроданоСеть_темп_14д;ПроданоСеть_темп_21д;Продажи_7д_вперёд
2024-03-03;N00000000842;0;1;1.0;4;114.0;0.0;1.0;6;3;3;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;111.0;2.0;5.0;11.0;18.0;1.2857142857142858;1.7857142857142858;2.142857142857143;0.0
2024-03-04;N00000000842;0;0;0.0;0;114.0;0.0;0.0;0;3;4;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;114.0;2.0;5.0;11.0;18.0;1.0;1.7142857142857142;1.9523809523809523;0.0
2024-03-05;N00000000842;0;0;1.0;4;117.0;0.0;1.0;1;3;5;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;114.0;2.0;4.0;10.0;17.0;0.7142857142857143;1.5;1.7619047619047619;0.0
2024-03-06;N00000000842;0;0;2.0;1;116.0;0.0;2.0;2;3;6;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;117.0;2.0;5.0;10.0;17.0;0.8571428571428571;1.5;1.5714285714285714;0.0
2024-03-07;N00000000842;0;0;3.0;0;113.0;0.0;3.0;3;3;7;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;116.0;2.0;5.0;10.0;17.0;1.0;1.4285714285714286;1.619047619047619;0.0
2024-03-08;N00000000842;0;1;1.0;2;114.0;0.0;1.0;4;3;8;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;113.0;2.0;5.0;10.0;17.0;1.2857142857142858;1.4285714285714286;1.7142857142857142;0.0
2024-03-09;N00000000842;0;1;2.0;1;113.0;0.0;2.0;5;3;9;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;114.0;2.0;5.0;11.0;17.0;1.1428571428571428;1.5;1.619047619047619;0.0
2024-03-10;N00000000842;0;1;1.0;1;113.0;0.0;1.0;6;3;10;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;113.0;2.0;6.0;11.0;17.0;1.4285714285714286;1.3571428571428572;1.6666666666666667;0.0
2024-03-11;N00000000842;0;0;4.0;0;109.0;0.0;4.0;0;3;11;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;113.0;2.0;6.0;11.0;17.0;1.4285714285714286;1.2142857142857142;1.619047619047619;0.0
2024-03-12;N00000000842;0;0;2.0;4;111.0;0.0;2.0;1;3;12;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;109.0;2.0;7.0;11.0;17.0;2.0;1.3571428571428572;1.6666666666666667;0.0
2024-03-13;N00000000842;0;0;2.0;3;112.0;0.0;2.0;2;3;13;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;4.0;111.0;2.0;7.0;12.0;17.0;2.142857142857143;1.5;1.7142857142857142;0.0
2024-03-14;N00000000842;0;0;2.0;6;116.0;0.0;2.0;3;3;14;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;112.0;2.0;7.0;12.0;17.0;2.142857142857143;1.5714285714285714;1.6666666666666667;0.0
2024-03-15;N00000000842;0;0;3.0;1;114.0;0.0;3.0;4;3;15;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;6.0;116.0;2.0;7.0;12.0;17.0;2.0;1.6428571428571428;1.619047619047619;0.0
2024-03-16;N00000000842;0;1;3.0;0;111.0;0.0;3.0;5;3;16;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;1.0;114.0;2.0;7.0;12.0;18.0;2.2857142857142856;1.7142857142857142;1.7619047619047619;1.0
2024-03-17;N00000000842;0;1;1.0;0;110.0;0.0;1.0;6;3;17;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;111.0;2.0;7.0;13.0;18.0;2.4285714285714284;1.9285714285714286;1.7142857142857142;1.0
2024-03-18;N00000000842;0;0;3.0;0;107.0;0.0;3.0;0;3;18;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;110.0;2.0;7.0;13.0;18.0;2.4285714285714284;1.9285714285714286;1.619047619047619;1.0
2024-03-19;N00000000842;0;0;1.0;4;110.0;0.0;1.0;1;3;19;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;107.0;2.0;7.0;14.0;18.0;2.2857142857142856;2.142857142857143;1.6666666666666667;1.0
2024-03-20;N00000000842;0;0;1.0;2;111.0;0.0;1.0;2;3;20;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;4.0;110.0;2.0;7.0;14.0;19.0;2.142857142857143;2.142857142857143;1.7142857142857142;1.0
2024-03-21;N00000000842;0;0;4.0;6;113.0;0.0;4.0;3;3;21;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;111.0;2.0;7.0;14.0;19.0;2.0;2.0714285714285716;1.7142857142857142;1.0
2024-03-22;N00000000842;0;0;5.0;4;112.0;0.0;5.0;4;3;22;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;6.0;113.0;2.0;7.0;14.0;19.0;2.2857142857142856;2.142857142857143;1.8571428571428572;1.0
2024-03-23;N00000000842;0;1;4.0;4;112.0;1.0;4.0;5;3;23;2024;1.0;0.0;0;1.0;0.0;0.0;2.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;4.0;112.0;2.0;7.0;14.0;19.0;2.5714285714285716;2.4285714285714284;2.0;0.0
2024-03-24;N00000000842;0;1;2.0;0;110.0;0.0;2.0;6;3;24;2024;0.0;0.0;0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;4.0;4.0;112.0;1.0;7.0;14.0;20.0;2.7142857142857144;2.5714285714285716;2.1904761904761907;0.0
2024-03-25;N00000000842;0;0;1.0;0;109.0;0.0;1.0;0;3;25;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;2.0;0.0;110.0;1.0;7.0;14.0;20.0;2.857142857142857;2.642857142857143;2.238095238095238;0.0
2024-03-26;N00000000842;0;0;2.0;0;107.0;0.0;2.0;1;3;26;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;1.0;0.0;109.0;1.0;7.0;14.0;21.0;2.5714285714285716;2.4285714285714284;2.2857142857142856;0.0
2024-03-27;N00000000842;0;0;1.0;2;108.0;0.0;1.0;2;3;27;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;2.0;0.0;107.0;1.0;7.0;14.0;21.0;2.7142857142857144;2.4285714285714284;2.3333333333333335;0.0
2024-03-28;N00000000842;0;0;4.0;3;107.0;0.0;4.0;3;3;28;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;1.0;2.0;108.0;1.0;7.0;14.0;21.0;2.7142857142857144;2.357142857142857;2.2857142857142856;0.0
2024-03-29;N00000000842;0;0;1.0;2;108.0;0.0;1.0;4;3;29;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;4.0;3.0;107.0;1.0;7.0;14.0;21.0;2.7142857142857144;2.5;2.3333333333333335;0.0
2024-03-30;N00000000842;0;1;1.0;2;109.0;0.0;1.0;5;3;30;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;1.0;2.0;108.0;1.0;7.0;14.0;21.0;2.142857142857143;2.357142857142857;2.3333333333333335;0.0
2024-03-31;N00000000842;0;1;0.0;4;113.0;0.0;0.0;6;3;31;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.07142857142857142;0.047619047619047616;1.0;2.0;109.0;1.0;7.0;14.0;21.0;1.7142857142857142;2.2142857142857144;2.2857142857142856;0.0
2024-04-01;N00000000842;0;0;4.0;1;110.0;0.0;4.0;0;4;1;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.07142857142857142;0.047619047619047616;0.0;4.0;113.0;1.0;6.0;13.0;20.0;1.4285714285714286;2.142857142857143;2.238095238095238;0.0
2024-04-02;N00000000842;0;0;3.0;0;107.0;0.0;3.0;1;4;2;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.07142857142857142;0.047619047619047616;4.0;1.0;110.0;1.0;6.0;13.0;20.0;1.8571428571428572;2.2142857142857144;2.238095238095238;0.0
2024-04-03;N00000000842;0;0;3.0;1;105.0;0.0;3.0;2;4;3;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.07142857142857142;0.047619047619047616;3.0;0.0;107.0;1.0;6.0;13.0;20.0;2.0;2.357142857142857;2.2857142857142856;0.0
2024-04-04;N00000000842;0;0;1.0;2;106.0;0.0;1.0;3;4;4;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.07142857142857142;0.047619047619047616;3.0;1.0;105.0;1.0;6.0;13.0;20.0;2.2857142857142856;2.5;2.3333333333333335;0.0
2024-04-05;N00000000842;0;0;2.0;5;109.0;0.0;2.0;4;4;5;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.07142857142857142;0.047619047619047616;1.0;2.0;106.0;1.0;6.0;13.0;20.0;1.8571428571428572;2.2857142857142856;2.2857142857142856;0.0
2024-04-06;N00000000842;0;1;0.0;3;112.0;0.0;0.0;5;4;6;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;0.07142857142857142;0.047619047619047616;2.0;5.0;109.0;1.0;6.0;13.0;20.0;2.0;2.0714285714285716;2.238095238095238;0.0
2024-04-07;N00000000842;0;1;3.0;1;110.0;0.0;3.0;6;4;7;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.047619047619047616;0.0;3.0;112.0;1.0;5.0;12.0;19.0;1.8571428571428572;1.7857142857142858;2.0952380952380953;0.0
2024-04-08;N00000000842;0;0;0.0;0;110.0;0.0;0.0;0;4;8;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.047619047619047616;3.0;1.0;110.0;1.0;6.0;12.0;19.0;2.2857142857142856;1.8571428571428572;2.1904761904761907;0.0
2024-04-09;N00000000842;0;0;5.0;1;106.0;0.0;5.0;1;4;9;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.047619047619047616;0.0;0.0;110.0;1.0;5.0;11.0;18.0;1.7142857142857142;1.7857142857142858;2.0476190476190474;0.0
2024-04-10;N00000000842;0;0;5.0;2;103.0;0.0;5.0;2;4;10;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.047619047619047616;5.0;1.0;106.0;1.0;5.0;11.0;18.0;2.0;2.0;2.238095238095238;0.0
2024-04-11;N00000000842;0;0;0.0;1;104.0;0.0;0.0;3;4;11;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.047619047619047616;5.0;2.0;103.0;1.0;5.0;11.0;18.0;2.2857142857142856;2.2857142857142856;2.4285714285714284;0.0
2024-04-12;N00000000842;0;0;2.0;5;107.0;0.0;2.0;4;4;12;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.047619047619047616;0.0;1.0;104.0;1.0;4.0;10.0;17.0;2.142857142857143;2.0;2.238095238095238;0.0
2024-04-13;N00000000842;0;1;0.0;5;112.0;0.0;0.0;5;4;13;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.047619047619047616;2.0;5.0;107.0;1.0;4.0;10.0;17.0;2.142857142857143;2.0714285714285716;2.0952380952380953;0.0
2024-04-14;N00000000842;0;1;2.0;2;112.0;0.0;2.0;6;4;14;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5.0;112.0;1.0;4.0;9.0;16.0;2.142857142857143;2.0;1.9047619047619047;1.0
2024-04-15;N00000000842;0;0;3.0;0;109.0;0.0;3.0;0;4;15;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;112.0;1.0;4.0;10.0;16.0;2.0;2.142857142857143;1.9047619047619047;1.0
2024-04-16;N00000000842;0;0;3.0;2;108.0;0.0;3.0;1;4;16;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;109.0;1.0;5.0;10.0;16.0;2.4285714285714284;2.0714285714285716;2.0;1.0
2024-04-17;N00000000842;0;0;3.0;2;107.0;0.0;3.0;2;4;17;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;108.0;1.0;5.0;10.0;16.0;2.142857142857143;2.0714285714285716;2.0476190476190474;2.0
2024-04-18;N00000000842;0;0;4.0;1;104.0;0.0;4.0;3;4;18;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;2.0;107.0;1.0;5.0;10.0;16.0;1.8571428571428572;2.0714285714285716;2.142857142857143;2.0
2024-04-19;N00000000842;0;0;1.0;3;106.0;0.0;1.0;4;4;19;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;4.0;1.0;104.0;1.0;6.0;10.0;16.0;2.4285714285714284;2.2857142857142856;2.142857142857143;2.0
2024-04-20;N00000000842;0;1;1.0;5;110.0;0.0;1.0;5;4;20;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;106.0;1.0;6.0;10.0;16.0;2.2857142857142856;2.2142857142857144;2.142857142857143;2.0
2024-04-21;N00000000842;0;1;4.0;2;108.0;1.0;4.0;6;4;21;2024;1.0;1.0;0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;5.0;110.0;1.0;7.0;11.0;16.0;2.4285714285714284;2.2857142857142856;2.142857142857143;1.0
2024-04-22;N00000000842;0;0;0.0;0;108.0;0.0;0.0;0;4;22;2024;0.0;2.0;1;1.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;4.0;2.0;108.0;0.0;7.0;11.0;17.0;2.7142857142857144;2.357142857142857;2.3333333333333335;2.0
2024-04-23;N00000000842;0;0;2.0;2;108.0;0.0;2.0;1;4;23;2024;0.0;0.0;0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;0.0;0.0;108.0;1.0;6.0;11.0;16.0;2.2857142857142856;2.357142857142857;2.142857142857143;2.0
2024-04-24;N00000000842;0;0;2.0;3;109.0;0.0;2.0;2;4;24;2024;1.0;0.0;0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.14285714285714285;0.07142857142857142;0.047619047619047616;2.0;2.0;108.0;1.0;6.0;11.0;16.0;2.142857142857143;2.142857142857143;2.0952380952380953;1.0
2024-04-25;N00000000842;0;0;3.0;4;110.0;0.0;3.0;3;4;25;2024;0.0;0.0;2;2.0;1.0;0.0;0.0;0.0;0.0;2.0;2.0;2.0;0.2857142857142857;0.14285714285714285;0.09523809523809523;2.0;3.0;109.0;0.0;6.0;11.0;16.0;2.0;1.9285714285714286;2.0476190476190474;1.0
2024-04-26;N00000000842;0;0;1.0;2;111.0;0.0;1.0;4;4;26;2024;0.0;0.0;0;2.0;0.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;0.2857142857142857;0.14285714285714285;0.09523809523809523;3.0;4.0;110.0;2.0;6.0;12.0;16.0;1.8571428571428572;2.142857142857143;2.142857142857143;1.0
2024-04-27;N00000000842;0;0;2.0;6;115.0;0.0;2.0;5;4;27;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;2.0;2.0;2.0;0.2857142857142857;0.14285714285714285;0.09523809523809523;1.0;2.0;111.0;2.0;6.0;12.0;16.0;1.8571428571428572;2.0714285714285716;2.0952380952380953;1.0
2024-04-28;N00000000842;0;1;1.0;2;116.0;0.0;1.0;6;4;28;2024;0.0;0.0;0;2.0;0.0;0.0;2.0;2.0;2.0;2.0;2.0;2.0;0.2857142857142857;0.14285714285714285;0.09523809523809523;2.0;6.0;115.0;2.0;6.0;13.0;17.0;2.0;2.2142857142857144;2.1904761904761907;1.0
2024-04-29;N00000000842;0;1;1.0;0;115.0;1.0;1.0;0;4;29;2024;1.0;0.0;0;1.0;0.0;0.0;2.0;2.0;2.0;1.0;2.0;2.0;0.14285714285714285;0.14285714285714285;0.09523809523809523;1.0;2.0;116.0;2.0;6.0;13.0;17.0;1.5714285714285714;2.142857142857143;2.0952380952380953;0.0
2024-04-30;N00000000842;0;1;1.0;0;114.0;0.0;1.0;1;4;30;2024;0.0;0.0;0;1.0;1.0;0.0;1.0;1.0;1.0;2.0;3.0;3.0;0.2857142857142857;0.21428571428571427;0.14285714285714285;1.0;0.0;115.0;1.0;7.0;13.0;18.0;1.7142857142857142;2.0;2.142857142857143;0.0
2024-05-01;N00000000842;0;1;2.0;0;112.0;0.0;2.0;2;5;1;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;3.0;3.0;0.2857142857142857;0.21428571428571427;0.14285714285714285;1.0;0.0;114.0;1.0;7.0;13.0;18.0;1.5714285714285714;1.8571428571428572;1.9523809523809523;0.0
2024-05-02;N00000000842;0;0;4.0;0;108.0;0.0;4.0;3;5;2;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;3.0;0.14285714285714285;0.21428571428571427;0.14285714285714285;2.0;0.0;112.0;1.0;7.0;13.0;18.0;1.5714285714285714;1.7857142857142858;1.8095238095238095;0.0
2024-05-03;N00000000842;0;0;2.0;1;107.0;0.0;2.0;4;5;3;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;3.0;0.14285714285714285;0.21428571428571427;0.14285714285714285;4.0;0.0;108.0;1.0;7.0;13.0;19.0;1.7142857142857142;1.7857142857142858;2.0;0.0
2024-05-04;N00000000842;0;1;1.0;8;114.0;0.0;1.0;5;5;4;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;3.0;0.14285714285714285;0.21428571428571427;0.14285714285714285;2.0;1.0;107.0;1.0;7.0;13.0;19.0;1.8571428571428572;1.8571428571428572;2.0;0.0
2024-05-05;N00000000842;0;1;1.0;3;116.0;0.0;1.0;6;5;5;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;3.0;3.0;0.14285714285714285;0.21428571428571427;0.14285714285714285;1.0;8.0;114.0;1.0;7.0;13.0;20.0;1.7142857142857142;1.8571428571428572;2.0476190476190474;0.0
2024-05-06;N00000000842;0;0;1.0;0;115.0;0.0;1.0;0;5;6;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;2.0;3.0;0.14285714285714285;0.14285714285714285;0.14285714285714285;1.0;3.0;116.0;1.0;7.0;13.0;20.0;1.7142857142857142;1.6428571428571428;2.0;0.0
2024-05-07;N00000000842;0;0;2.0;3;116.0;0.0;2.0;1;5;7;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;2.0;3.0;0.0;0.14285714285714285;0.14285714285714285;1.0;0.0;115.0;1.0;7.0;14.0;20.0;1.7142857142857142;1.7142857142857142;1.9047619047619047;0.0
2024-05-08;N00000000842;0;0;5.0;2;113.0;0.0;4.0;2;5;8;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;2.0;3.0;0.0;0.14285714285714285;0.14285714285714285;2.0;3.0;116.0;1.0;7.0;14.0;20.0;1.8571428571428572;1.7142857142857142;1.8571428571428572;0.0
2024-05-09;N00000000842;0;1;1.0;0;112.0;0.0;1.0;3;5;9;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3.0;0.0;0.07142857142857142;0.14285714285714285;5.0;2.0;113.0;1.0;7.0;14.0;20.0;2.2857142857142856;1.9285714285714286;1.9523809523809523;0.0
2024-05-10;N00000000842;0;1;1.0;2;113.0;0.0;1.0;4;5;10;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3.0;0.0;0.07142857142857142;0.14285714285714285;1.0;0.0;112.0;1.0;7.0;14.0;20.0;1.8571428571428572;1.7857142857142858;1.8095238095238095;0.0
2024-05-11;N00000000842;0;1;2.0;0;111.0;0.0;2.0;5;5;11;2024;0.0;0.0;0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;1.0;3.0;0.0;0.07142857142857142;0.14285714285714285;1.0;2.0;113.0;1.0;7.0;14.0;20.0;1.7142857142857142;1.7857142857142858;1.8095238095238095;0.0
